Area,Year,Ethnicity,Projection,Age,Sex,Value,Flags
"Maungakiekie-Tamaki local board area","2028","Total population","Medium","Total people, all ages","Total people",99900,
"Maungakiekie-Tamaki local board area","2033","Total population","Medium","Total people, all ages","Total people",107800,
"Maungakiekie-Tamaki local board area","2038","Total population","Medium","Total people, all ages","Total people",115200,
"Howick local board area","2013","Maori","Medium","Total people, all ages","Total people",7710,
"Howick local board area","2018","Maori","Medium","Total people, all ages","Total people",8950,
"Howick local board area","2023","Maori","Medium","Total people, all ages","Total people",10050,
"Howick local board area","2028","Maori","Medium","Total people, all ages","Total people",11250,
"Howick local board area","2033","Maori","Medium","Total people, all ages","Total people",12550,
"Howick local board area","2038","Maori","Medium","Total people, all ages","Total people",13950,
"Howick local board area","2013","Total population","Medium","Total people, all ages","Total people",135000,
"Howick local board area","2018","Total population","Medium","Total people, all ages","Total people",153700,
"Howick local board area","2023","Total population","Medium","Total people, all ages","Total people",167300,
"Howick local board area","2028","Total population","Medium","Total people, all ages","Total people",177500,
"Howick local board area","2033","Total population","Medium","Total people, all ages","Total people",186600,
"Howick local board area","2038","Total population","Medium","Total people, all ages","Total people",194500,
"Mangere-Otahuhu local board area","2013","Maori","Medium","Total people, all ages","Total people",12350,
"Mangere-Otahuhu local board area","2018","Maori","Medium","Total people, all ages","Total people",13100,
"Mangere-Otahuhu local board area","2023","Maori","Medium","Total people, all ages","Total people",13550,
"Mangere-Otahuhu local board area","2028","Maori","Medium","Total people, all ages","Total people",13800,
"Mangere-Otahuhu local board area","2033","Maori","Medium","Total people, all ages","Total people",13950,
"Mangere-Otahuhu local board area","2038","Maori","Medium","Total people, all ages","Total people",13900,
"Mangere-Otahuhu local board area","2013","Total population","Medium","Total people, all ages","Total people",75300,
"Mangere-Otahuhu local board area","2018","Total population","Medium","Total people, all ages","Total people",82900,
"Mangere-Otahuhu local board area","2023","Total population","Medium","Total people, all ages","Total people",89000,
"Mangere-Otahuhu local board area","2028","Total population","Medium","Total people, all ages","Total people",94300,
"Mangere-Otahuhu local board area","2033","Total population","Medium","Total people, all ages","Total people",99000,
"Mangere-Otahuhu local board area","2038","Total population","Medium","Total people, all ages","Total people",103100,
"Otara-Papatoetoe local board area","2013","Maori","Medium","Total people, all ages","Total people",12900,
"Otara-Papatoetoe local board area","2018","Maori","Medium","Total people, all ages","Total people",13300,
"Otara-Papatoetoe local board area","2023","Maori","Medium","Total people, all ages","Total people",13550,
"Otara-Papatoetoe local board area","2028","Maori","Medium","Total people, all ages","Total people",13600,
"Otara-Papatoetoe local board area","2033","Maori","Medium","Total people, all ages","Total people",13650,
"Otara-Papatoetoe local board area","2038","Maori","Medium","Total people, all ages","Total people",13550,
"Otara-Papatoetoe local board area","2013","Total population","Medium","Total people, all ages","Total people",80300,
"Otara-Papatoetoe local board area","2018","Total population","Medium","Total people, all ages","Total people",88900,
"Otara-Papatoetoe local board area","2023","Total population","Medium","Total people, all ages","Total people",95800,
"Otara-Papatoetoe local board area","2028","Total population","Medium","Total people, all ages","Total people",100900,
"Otara-Papatoetoe local board area","2033","Total population","Medium","Total people, all ages","Total people",105400,
"Otara-Papatoetoe local board area","2038","Total population","Medium","Total people, all ages","Total people",109100,
"Manurewa local board area","2013","Maori","Medium","Total people, all ages","Total people",22100,
"Manurewa local board area","2018","Maori","Medium","Total people, all ages","Total people",24700,
"Manurewa local board area","2023","Maori","Medium","Total people, all ages","Total people",27100,
"Manurewa local board area","2028","Maori","Medium","Total people, all ages","Total people",29700,
"Manurewa local board area","2033","Maori","Medium","Total people, all ages","Total people",32500,
"Manurewa local board area","2038","Maori","Medium","Total people, all ages","Total people",35500,
"Manurewa local board area","2013","Total population","Medium","Total people, all ages","Total people",87000,
"Manurewa local board area","2018","Total population","Medium","Total people, all ages","Total people",96600,
"Manurewa local board area","2023","Total population","Medium","Total people, all ages","Total people",101700,
"Manurewa local board area","2028","Total population","Medium","Total people, all ages","Total people",104100,
"Manurewa local board area","2033","Total population","Medium","Total people, all ages","Total people",105400,
"Manurewa local board area","2038","Total population","Medium","Total people, all ages","Total people",105500,
"Papakura local board area","2013","Maori","Medium","Total people, all ages","Total people",13650,
"Papakura local board area","2018","Maori","Medium","Total people, all ages","Total people",15450,
"Papakura local board area","2023","Maori","Medium","Total people, all ages","Total people",17300,
"Papakura local board area","2028","Maori","Medium","Total people, all ages","Total people",19300,
"Papakura local board area","2033","Maori","Medium","Total people, all ages","Total people",21500,
"Papakura local board area","2038","Maori","Medium","Total people, all ages","Total people",23900,
"Papakura local board area","2013","Total population","Medium","Total people, all ages","Total people",48200,
"Papakura local board area","2018","Total population","Medium","Total people, all ages","Total people",56200,
"Papakura local board area","2023","Total population","Medium","Total people, all ages","Total people",63200,
"Papakura local board area","2028","Total population","Medium","Total people, all ages","Total people",69200,
"Papakura local board area","2033","Total population","Medium","Total people, all ages","Total people",75000,
"Papakura local board area","2038","Total population","Medium","Total people, all ages","Total people",80600,
"Franklin local board area","2013","Maori","Medium","Total people, all ages","Total people",9470,
"Franklin local board area","2018","Maori","Medium","Total people, all ages","Total people",10700,
"Franklin local board area","2023","Maori","Medium","Total people, all ages","Total people",11950,
"Franklin local board area","2028","Maori","Medium","Total people, all ages","Total people",13200,
"Franklin local board area","2033","Maori","Medium","Total people, all ages","Total people",14550,
"Franklin local board area","2038","Maori","Medium","Total people, all ages","Total people",15950,
"Franklin local board area","2013","Total population","Medium","Total people, all ages","Total people",68300,
"Franklin local board area","2018","Total population","Medium","Total people, all ages","Total people",77200,
"Franklin local board area","2023","Total population","Medium","Total people, all ages","Total people",86600,
"Franklin local board area","2028","Total population","Medium","Total people, all ages","Total people",96300,
"Franklin local board area","2033","Total population","Medium","Total people, all ages","Total people",106000,
"Franklin local board area","2038","Total population","Medium","Total people, all ages","Total people",115300,
"Thames-Coromandel district","2013","Maori","Medium","Total people, all ages","Total people",4740,
"Thames-Coromandel district","2018","Maori","Medium","Total people, all ages","Total people",5120,
"Thames-Coromandel district","2023","Maori","Medium","Total people, all ages","Total people",5480,
"Thames-Coromandel district","2028","Maori","Medium","Total people, all ages","Total people",5830,
"Thames-Coromandel district","2033","Maori","Medium","Total people, all ages","Total people",6200,
"Thames-Coromandel district","2038","Maori","Medium","Total people, all ages","Total people",6580,
"Thames-Coromandel district","2013","Total population","Medium","Total people, all ages","Total people",27300,
"Thames-Coromandel district","2018","Total population","Medium","Total people, all ages","Total people",29000,
"Thames-Coromandel district","2023","Total population","Medium","Total people, all ages","Total people",29400,
"Thames-Coromandel district","2028","Total population","Medium","Total people, all ages","Total people",29600,
"Thames-Coromandel district","2033","Total population","Medium","Total people, all ages","Total people",29500,
"Thames-Coromandel district","2038","Total population","Medium","Total people, all ages","Total people",29000,
"Hauraki district","2013","Maori","Medium","Total people, all ages","Total people",4070,
"Hauraki district","2018","Maori","Medium","Total people, all ages","Total people",4600,
"Hauraki district","2023","Maori","Medium","Total people, all ages","Total people",5040,
"Hauraki district","2028","Maori","Medium","Total people, all ages","Total people",5400,
"Hauraki district","2033","Maori","Medium","Total people, all ages","Total people",5770,
"Hauraki district","2038","Maori","Medium","Total people, all ages","Total people",6180,
"Hauraki district","2013","Total population","Medium","Total people, all ages","Total people",18600,
"Hauraki district","2018","Total population","Medium","Total people, all ages","Total people",20200,
"Hauraki district","2023","Total population","Medium","Total people, all ages","Total people",20700,
"Hauraki district","2028","Total population","Medium","Total people, all ages","Total people",20900,
"Hauraki district","2033","Total population","Medium","Total people, all ages","Total people",20900,
"Hauraki district","2038","Total population","Medium","Total people, all ages","Total people",20700,
"Waikato district","2013","Maori","Medium","Total people, all ages","Total people",16700,
"Waikato district","2018","Maori","Medium","Total people, all ages","Total people",18650,
"Waikato district","2023","Maori","Medium","Total people, all ages","Total people",20500,
"Waikato district","2028","Maori","Medium","Total people, all ages","Total people",22400,
"Waikato district","2033","Maori","Medium","Total people, all ages","Total people",24600,
"Waikato district","2038","Maori","Medium","Total people, all ages","Total people",26900,
"Waikato district","2013","Total population","Medium","Total people, all ages","Total people",66500,
"Waikato district","2018","Total population","Medium","Total people, all ages","Total people",75200,
"Waikato district","2023","Total population","Medium","Total people, all ages","Total people",81700,
"Waikato district","2028","Total population","Medium","Total people, all ages","Total people",87200,
"Waikato district","2033","Total population","Medium","Total people, all ages","Total people",92400,
"Waikato district","2038","Total population","Medium","Total people, all ages","Total people",97200,
"Matamata-Piako district","2013","Maori","Medium","Total people, all ages","Total people",5120,
"Matamata-Piako district","2018","Maori","Medium","Total people, all ages","Total people",5790,
"Matamata-Piako district","2023","Maori","Medium","Total people, all ages","Total people",6390,
"Matamata-Piako district","2028","Maori","Medium","Total people, all ages","Total people",7030,
"Matamata-Piako district","2033","Maori","Medium","Total people, all ages","Total people",7730,
"Matamata-Piako district","2038","Maori","Medium","Total people, all ages","Total people",8510,
"Matamata-Piako district","2013","Total population","Medium","Total people, all ages","Total people",32900,
"Matamata-Piako district","2018","Total population","Medium","Total people, all ages","Total people",35000,
"Matamata-Piako district","2023","Total population","Medium","Total people, all ages","Total people",35900,
"Matamata-Piako district","2028","Total population","Medium","Total people, all ages","Total people",36500,
"Matamata-Piako district","2033","Total population","Medium","Total people, all ages","Total people",36900,
"Matamata-Piako district","2038","Total population","Medium","Total people, all ages","Total people",37100,
"Hamilton city","2013","Maori","Medium","Total people, all ages","Total people",33100,
"Hamilton city","2018","Maori","Medium","Total people, all ages","Total people",37700,
"Hamilton city","2023","Maori","Medium","Total people, all ages","Total people",42500,
"Hamilton city","2028","Maori","Medium","Total people, all ages","Total people",47400,
"Hamilton city","2033","Maori","Medium","Total people, all ages","Total people",52600,
"Hamilton city","2038","Maori","Medium","Total people, all ages","Total people",58100,
"Hamilton city","2013","Total population","Medium","Total people, all ages","Total people",150200,
"Hamilton city","2018","Total population","Medium","Total people, all ages","Total people",168700,
"Hamilton city","2023","Total population","Medium","Total people, all ages","Total people",182100,
"Hamilton city","2028","Total population","Medium","Total people, all ages","Total people",193500,
"Hamilton city","2033","Total population","Medium","Total people, all ages","Total people",204400,
"Hamilton city","2038","Total population","Medium","Total people, all ages","Total people",214700,
"Waipa district","2013","Maori","Medium","Total people, all ages","Total people",7080,
"Waipa district","2018","Maori","Medium","Total people, all ages","Total people",7860,
"Waipa district","2023","Maori","Medium","Total people, all ages","Total people",8630,
"Waipa district","2028","Maori","Medium","Total people, all ages","Total people",9410,
"Waipa district","2033","Maori","Medium","Total people, all ages","Total people",10250,
"Waipa district","2038","Maori","Medium","Total people, all ages","Total people",11150,
"Waipa district","2013","Total population","Medium","Total people, all ages","Total people",48700,
"Waipa district","2018","Total population","Medium","Total people, all ages","Total people",53900,
